EMD-0109 C1 5.9 n/a
EMD-0110 C1 4.9 n/a
EMD-0111 C1 4.7 n/a
EMD-0112 C1 4.9 n/a
EMD-0113 C1 4.4 n/a
EMD-0114 T 9.07 n/a
EMD-0115 D3 23.68 n/a
EMD-0116 D6 12.18 n/a
EMD-0118 D2 13.75 n/a
EMD-0120 C1 23.68 n/a
EMD-0121 C3 5.08 n/a
EMD-0122 C3 7.79 n/a
EMD-0123 C3 7.66 n/a
EMD-0124 C3 6.93 n/a
EMD-0125 C3 7.53 n/a
EMD-0126 C3 4.69 n/a
EMD-0127 None 6.25 n/a
EMD-0128 None 3.8 6h25
EMD-0129 I 3.28 6h2b
EMD-0130 I 6.6 n/a
EMD-0131 C5 7.7 n/a
EMD-0132 C2 3.9 6h3c
EMD-0133 C1 3.5 6h3i
EMD-0134 C1 3.7 6h3j
EMD-0135 C1 4.2 6h3l
EMD-0136 C3 3.25 6h3n
EMD-0137 C1 3.0 6h4n
EMD-0138 I 6.0 6h55
EMD-0139 C2 7.9 6h58
EMD-0140 O 3.9 6h5i
EMD-0144 O 1.65 n/a
EMD-0146 C1 3.6 6h67
EMD-0147 None 4.6 6h68
EMD-0149 C1 3.95 6h6e
EMD-0150 C1 3.72 6h6f
EMD-0151 C1 4.1 n/a
EMD-0152 C3 3.10945 n/a
EMD-0153 D2 1.89834 n/a
EMD-0172 I 3.78 6h82
EMD-0173 I 3.97 n/a
EMD-0174 I 3.74 6h9c
EMD-0176 C1 3.1 6ha1
EMD-0177 C1 3.5 6ha8
EMD-0178 D3 4.0 n/a
EMD-0180 C1 2.78 6hbc
EMD-0181 I 3.16 6hbg
EMD-0182 I 3.36 6hbh
EMD-0183 I 3.16 6hbj
EMD-0184 C1 8.8 n/a
EMD-0185 C5 3.8 6hbk
EMD-0186 C1 6.62 n/a
EMD-0187 C1 4.85 n/a
EMD-0188 C3 3.7 6hbl
EMD-0189 C5 19.4 n/a
EMD-0190 C1 3.09 6hbu
EMD-0191 None 6.5 n/a
EMD-0192 C1 3.9 6hcf
EMD-0193 C15 4.3 6hcg
EMD-0194 C1 3.8 6hcj
EMD-0195 None 6.8 6hcm
EMD-0196 C2 3.58 6hco
EMD-0197 None 6.5 6hcq
EMD-0198 I 3.5 6hcr
EMD-0199 C3 3.1 6hcy
EMD-0200 C3 3.8 6hd1
EMD-0201 None 4.8 6hd5
EMD-0202 None 3.4 6hd7
EMD-0203 None 6.7 n/a
EMD-0204 C1 4.5 6hdd
EMD-0205 O 5.2 n/a
EMD-0206 O 5.5 n/a
EMD-0207 D5 6.2 n/a
EMD-0208 C1 5.0 n/a
EMD-0209 C1 4.85 6he4
EMD-0210 C1 4.12 6he5
EMD-0211 C7 3.69 6he7
EMD-0212 C1 6.86 6he8
EMD-0213 C1 6.35 6he9
EMD-0214 C1 7.04 6hea
EMD-0215 C1 6.95 6hec
EMD-0216 C1 6.95 6hed
EMD-0217 C2 4.05 6hht
